#name	peak2d_x	peak2d_y	proj_x	proj_y
186W_0gs	12262.1	4781.94	12193.8	4790.27
	b(2d)=6	f(2d)=6	b(proj)=6	f(proj)=6
186W_0gs	12354.5	4793.86	12309.5	4783.91
	b(2d)=6	f(2d)=7	b(proj)=6	f(proj)=7
186W_0gs	12160.4	4742.18	12089.7	4738.89
	b(2d)=7	f(2d)=0	b(proj)=7	f(proj)=0
186W_0gs	11472.1	4968.92	11419.3	4974.07
	b(2d)=7	f(2d)=1	b(proj)=7	f(proj)=1
186W_0gs	11519.5	4986.82	11452.5	4993.74
	b(2d)=7	f(2d)=2	b(proj)=7	f(proj)=2
186W_0gs	11534.1	5054.05	11482.5	5061.47
	b(2d)=7	f(2d)=3	b(proj)=7	f(proj)=3
186W_0gs	11536.6	4829.56	11455.2	4842.37
	b(2d)=7	f(2d)=4	b(proj)=7	f(proj)=4
186W_0gs	11588.2	5035.29	11574.5	5026.77
	b(2d)=7	f(2d)=5	b(proj)=7	f(proj)=5
186W_0gs	11558.8	4895.94	11506.2	4899.05
	b(2d)=7	f(2d)=6	b(proj)=7	f(proj)=6
186W_0gs	11580.7	5140.7	11528.9	5141
	b(2d)=7	f(2d)=7	b(proj)=7	f(proj)=7
186W_0gs	11595.2	5008.18	11510.9	5024.2
