#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=4	f(2d)=6	b(proj)=4	f(proj)=6
188Re_0	9900.49	1398.15	9899.85	1407.09
19F_6	7103.5	891.773	7099.42	891.126

	b(2d)=4	f(2d)=7	b(proj)=4	f(proj)=7
188Re_0	9863.84	1458.95	9861.81	1467.32
19F_6	7162.16	925.054	7142.61	929.048

	b(2d)=5	f(2d)=0	b(proj)=5	f(proj)=0
188Re_0	9834.69	1470.54	9860.93	1465.72
19F_6	6761.09	980.228	6774.18	986.017

	b(2d)=5	f(2d)=1	b(proj)=5	f(proj)=1
188Re_0	9846.97	1418.4	9899.85	1412.65
19F_6	6825.64	931.066	6823.52	929.555

	b(2d)=5	f(2d)=2	b(proj)=5	f(proj)=2
188Re_0	9871.89	1450.63	9869.95	1450.94
19F_6	6914.53	956.336	6902.26	965.29

	b(2d)=5	f(2d)=3	b(proj)=5	f(proj)=3
188Re_0	9909.96	1382.56	9897.71	1388.04
19F_6	6977.82	892.91	6979.73	891.234

	b(2d)=5	f(2d)=4	b(proj)=5	f(proj)=4
188Re_0	9947.75	1520.73	9940.73	1527.85
19F_6	7045.55	1004.05	7056.16	1007.64

	b(2d)=5	f(2d)=5	b(proj)=5	f(proj)=5
188Re_0	9931.5	1419.59	9941.22	1425.76
19F_6	7120.64	899.378	7105.58	894.148

	b(2d)=5	f(2d)=6	b(proj)=5	f(proj)=6
188Re_0	9904.38	1461.05	9939.93	1465.37
19F_6	7187.8	933.791	7181.46	932.699

	b(2d)=5	f(2d)=7	b(proj)=5	f(proj)=7
188Re_0	9909.58	1352.42	9903.77	1352.55
19F_6	7240.5	850.122	7225.41	850.376

	b(2d)=6	f(2d)=0	b(proj)=6	f(proj)=0
188Re_0	9769.45	1329.82	9774.01	1329.32
19F_6	6659.91	880.148	6658.82	885.256

	b(2d)=6	f(2d)=1	b(proj)=6	f(proj)=1
188Re_0	9784.55	1425.57	9814.42	1427.53
19F_6	6723.67	963.675	6733.84	966.886

	b(2d)=6	f(2d)=2	b(proj)=6	f(proj)=2
188Re_0	9856.19	1475.24	9865.37	1473.49
19F_6	6795.27	1016.22	6782.96	1014.29

	b(2d)=6	f(2d)=3	b(proj)=6	f(proj)=3
188Re_0	9840.17	1387.8	9898.7	1389.19
19F_6	6855.36	929.353	6860.99	929.016

	b(2d)=6	f(2d)=4	b(proj)=6	f(proj)=4
188Re_0	9904.86	1401.88	9886.77	1409.5
19F_6	6929.49	925.412	6937.72	926.849

	b(2d)=6	f(2d)=5	b(proj)=6	f(proj)=5
188Re_0	9856.48	1407.8	9832.31	1410.02
19F_6	7001.18	910.385	7014.71	911.263

	b(2d)=6	f(2d)=6	b(proj)=6	f(proj)=6
188Re_0	9906.85	1435.26	9885.59	1433.78
19F_6	7076.12	936.321	7064.37	934.461

	b(2d)=6	f(2d)=7	b(proj)=6	f(proj)=7
188Re_0	9912.67	1364.37	9905.41	1370.63
19F_6	7142.68	872.243	7138.96	872.069

	b(2d)=7	f(2d)=0	b(proj)=7	f(proj)=0
188Re_0	9592.17	1462.35	9576.26	1468.99
19F_6	6572.01	977.318	6575.49	973.356

	b(2d)=7	f(2d)=1	b(proj)=7	f(proj)=1
188Re_0	9558.31	1431.57	9576.18	1432.63
19F_6	6623.33	932.613	6619.54	933.645

	b(2d)=7	f(2d)=2	b(proj)=7	f(proj)=2
188Re_0	9569.41	1511.26	9580.9	1511.71
19F_6	6682.23	1009.36	6695.71	1008.95

	b(2d)=7	f(2d)=3	b(proj)=7	f(proj)=3
188Re_0	9624.91	1413.96	9627.94	1413.83
19F_6	6756.28	935.572	6743.8	932.867

	b(2d)=7	f(2d)=4	b(proj)=7	f(proj)=4
188Re_0	9596.34	1495.1	9592.23	1492.97
19F_6	6805.63	983.744	6816.93	986.776

	b(2d)=7	f(2d)=5	b(proj)=7	f(proj)=5
188Re_0	9636.95	1439.33	9618.67	1435.07
19F_6	6877.26	936.163	6864.57	933.892

	b(2d)=7	f(2d)=6	b(proj)=7	f(proj)=6
188Re_0	9640.57	1543.69	9659.75	1547.23
19F_6	6957.59	1011.07	6940.61	1013.29

	b(2d)=7	f(2d)=7	b(proj)=7	f(proj)=7
188Re_0	9606.52	1454.39	9625.51	1452.19
19F_6	7000.97	929.424	6985.84	928.281
