#name	peak2d_x	peak2d_y	proj_x	proj_y
	b(2d)=6	f(2d)=4	b(proj)=6	f(proj)=4
186W_0gs	16072.4	4039.79	16059.9	4049.02

	b(2d)=6	f(2d)=5	b(proj)=6	f(proj)=5
186W_0gs	16059.7	4060.06	16059.9	4051.02

	b(2d)=6	f(2d)=6	b(proj)=6	f(proj)=6
186W_0gs	16064.6	4085.32	16059.1	4089.65

	b(2d)=6	f(2d)=7	b(proj)=6	f(proj)=7
186W_0gs	16031.7	3988.05	16018.5	3990.48

	b(2d)=7	f(2d)=0	b(proj)=7	f(proj)=0
186W_0gs	15510.2	4184.96	15460.7	4189.74

	b(2d)=7	f(2d)=1	b(proj)=7	f(proj)=1
186W_0gs	15478.6	4194.39	15459.8	4190.17

	b(2d)=7	f(2d)=2	b(proj)=7	f(proj)=2
186W_0gs	15489.7	4286.13	15461.5	4288.73

	b(2d)=7	f(2d)=3	b(proj)=7	f(proj)=3
186W_0gs	15480.6	4059.96	15461.7	4068.96

	b(2d)=7	f(2d)=4	b(proj)=7	f(proj)=4
186W_0gs	15464.7	4257.58	15460.2	4250

	b(2d)=7	f(2d)=5	b(proj)=7	f(proj)=5
186W_0gs	15466.4	4118.01	15459	4111.1

	b(2d)=7	f(2d)=6	b(proj)=7	f(proj)=6
186W_0gs	15457.2	4339.7	15421.6	4349.5

	b(2d)=7	f(2d)=7	b(proj)=7	f(proj)=7
186W_0gs	15385.3	4222.32	15378.8	4210.97
